ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,member_casual
66CA887BB50560F8,classic_bike,2023-06-05 07:31:58,2023-06-05 07:40:37,E 20 St & FDR Dr,5886.13,Broadway & E 19 St,6098.12,member
6D54B94A6E87350E,classic_bike,2023-06-15 07:33:45,2023-06-15 07:42:39,E 4 St & Ave B,5515.08,6 Ave & Canal St,5500.07,member
EB45382A2F210FD4,classic_bike,2023-06-23 12:04:44,2023-06-23 12:25:49,E 4 St & Ave B,5515.08,6 Ave & Canal St,5500.07,member
D33230FCA1BD2E6E,classic_bike,2023-06-10 16:38:17,2023-06-10 16:47:59,E 26 St & 3 Ave,6089.11,W 13 St & 5 Ave,5947.04,member
0C8ABA487BBAEC87,classic_bike,2023-06-30 09:26:20,2023-06-30 09:35:21,E 22 St & 2 Ave,5971.09,E 2 St & 2 Ave,5593.02,casual
A9DC3284F8CBF558,classic_bike,2023-06-10 09:44:36,2023-06-10 10:01:33,E 4 St & Ave B,5515.08,Broadway & E 19 St,6098.12,casual
528C1ADBFE55729D,classic_bike,2023-06-06 14:49:09,2023-06-06 14:55:47,Eastern Pkwy & Washington Ave,3928.08,Berkeley Pl & 7 Ave,4051.01,member
A847C2B6820AF671,classic_bike,2023-06-14 17:44:59,2023-06-14 17:52:25,E 12 St & 3 Ave,5788.12,E 9 St & Avenue C,5616.01,member
4DD0022F3CB863FA,classic_bike,2023-06-11 17:31:03,2023-06-11 18:27:15,Gansevoort St & Hudson St,6072.14,Pier 40 - Hudson River Park,5696.03,member
88A2639CCB6C7984,classic_bike,2023-06-13 16:03:34,2023-06-13 16:09:28,E 40 St & 5 Ave,6474.11,Broadway & W 29 St,6289.06,member
531BCB1466A222B8,electric_bike,2023-06-21 18:28:11,2023-06-21 18:36:20,E 40 St & 5 Ave,6474.11,E 47 St & 1 Ave,6498.09,member
28C5A5D0A63C4302,classic_bike,2023-06-08 21:18:24,2023-06-08 21:36:02,Perry St & Bleecker St,5922.07,E 47 St & 1 Ave,6498.09,casual
652DD8A0F8D21F08,classic_bike,2023-06-05 13:36:56,2023-06-05 13:48:17,8 Ave & W 24 St,6224.06,W 44 St & 5 Ave,6551.02,casual
9986837E1E212455,classic_bike,2023-06-05 15:33:24,2023-06-05 15:50:21,Prospect Park SW & 16 St,3498.09,Berkeley Pl & 7 Ave,4051.01,casual
2A5B51298AB6FFD5,classic_bike,2023-06-22 21:37:45,2023-06-23 01:59:56,E 135 St & St Ann's Ave,7687.05,Brook Ave & E 138 St,7707.08,casual
01A53CCB8D4688D1,classic_bike,2023-06-13 20:07:05,2023-06-13 21:03:29,Dock 72 Way & Market St,4804.02,Church Ave & Story St,3007.05,casual
8DEA62A0FE65A044,classic_bike,2023-06-21 13:16:33,2023-06-21 13:39:46,Gansevoort St & Hudson St,6072.14,Broadway & W 29 St,6289.06,casual
C10AC5154D6464BD,classic_bike,2023-06-21 13:17:07,2023-06-21 13:40:05,Gansevoort St & Hudson St,6072.14,Broadway & W 29 St,6289.06,casual
A711D8513609104E,classic_bike,2023-06-06 17:45:54,2023-06-06 17:59:24,Gansevoort St & Hudson St,6072.14,Pier 40 - Hudson River Park,5696.03,casual
265D2EBB92978CD7,classic_bike,2023-06-24 18:12:30,2023-06-24 18:30:49,Flatbush Ave & Ocean Ave,3704.04,Berkeley Pl & 7 Ave,4051.01,casual
B21C6AF85DFD0E9B,classic_bike,2023-06-24 14:23:27,2023-06-24 14:39:25,Prospect Park SW & 16 St,3498.09,12 St & 4 Ave,3882.01,casual
B08B2F2184C2A3CF,classic_bike,2023-06-12 18:51:57,2023-06-12 19:09:51,Dock 72 Way & Market St,4804.02,Berkeley Pl & 7 Ave,4051.01,casual
B54CF7EED36EB237,classic_bike,2023-06-21 20:42:50,2023-06-21 21:00:23,E 20 St & 2 Ave,5971.08,Division St & Bowery,5270.08,member
